xxxxxxx  xxxxxx  xxxxxx  xxxxxxx
x222222  222222  222222  222222x
x222222  222222  222222  222222x
x222222  222222  222222  222222x
x222222  222222  222222  222222x
x222222  222222  222222  222222x
x222222  222222  222222  222222x
                                
                                
x222222  222222  222222  222222x
x222222  222222  222222  222222x
x222222  222222  222222  222222x
x222222  222222  222222  222222x
x222222  222222  222222  222222x
x222222  222222  222222  222222x
                                
                                
x222222  222222  222222  222222x
x222222  222222  222222  222222x
x222222  222222  222222  222222x
x222222  222222  222222  222222x
x222222  222222  222222  222222x
x222222  222222  222222  222222x
                                
                                
x222222  222222  222222  222222x
x222222  222222  222222  222222x
x222222  222222  222222  222222x
x222222  222222  222222  222222x
x222222  222222  222222  222222x
x                              x
xxxxxxx  xxxxxx  xxxxxx  xxxxxxx
